Age,Salary,Experience,Education_Level,Job_Satisfaction,Department,Work_Life_Balance,Annual_Bonus,Commute_Time,Work_Hours_Per_Week,Promotions_Last_5_Years,Training_Hours_Last_Year,Overtime_Hours_Per_Week,Performance_Score
55,70886.84,45,High School,4,Finance,3,5212.69,89,46,0,80,1,63.15
52,60084.4,32,Bachelor,5,Operations,3,3327.1,65,30,3,21,8,41.28
68,27492.85,35,High School,1,Marketing,1,6577.91,82,32,2,58,10,41.23
32,27818.34,32,High School,1,Operations,1,2186.2,21,46,4,89,2,32.23
42,75083.99,34,Bachelor,1,Marketing,1,2636.39,80,34,1,73,18,43.4
54,38939.3,37,Master,2,Marketing,3,4089.78,31,36,0,7,4,63.99
45,37487.23,5,Associate,3,HR,1,6044.68,74,58,2,83,16,29.52
27,16009.22,45,Bachelor,5,Finance,2,2525.71,107,28,3,21,10,41.87
56,44738.33,28,Associate,4,Finance,3,6348.34,116,42,1,56,0,32
34,46584.21,28,Master,1,Operations,1,5878.5,29,23,3,51,0,47.84
56,60732.4,8,Bachelor,4,HR,4,5159.82,95,34,3,47,13,27.41
39,29013.82,27,PhD,3,Finance,3,1664.48,49,50,3,87,12,68.98
43,27195.7,16,Bachelor,5,Marketing,5,6842.6,6,25,0,21,19,36.82
61,56764.44,18,Master,1,Marketing,5,4509.19,26,45,2,86,12,61.33
42,65100.95,25,High School,1,Operations,3,4859.09,100,20,0,48,8,16.04
34,26432.71,48,Bachelor,5,Marketing,3,4020.06,58,41,1,91,7,27.13
30,66222.71,1,PhD,4,Finance,5,1876.39,21,49,2,1,10,26.56
37,50563.13,8,Bachelor,3,Engineering,4,3026.12,65,41,1,57,2,32.81
42,66377.08,21,High School,3,Sales,4,6901.06,105,52,0,41,15,50.85
21,48946.69,34,Bachelor,3,Engineering,4,8190.14,70,24,4,67,19,49.2
27,12165.83,24,PhD,4,HR,2,6105.8,30,55,4,36,11,40.31
20,47720.49,37,Master,4,Engineering,2,6508.36,60,29,2,20,1,33.05
58,65902.16,26,PhD,1,Operations,4,8316.54,37,20,4,25,18,36.83
62,36593.81,47,Master,4,Engineering,5,8264.86,5,31,3,14,0,59.36
35,44180.53,14,PhD,2,Operations,2,6183.55,44,22,4,98,15,14.78
64,47358,29,Associate,5,HR,1,3802.53,47,29,4,46,5,28.54
53,6507.29,30,Bachelor,4,Engineering,2,1043.59,48,20,3,14,10,43.25
64,75070.21,3,Bachelor,3,Sales,5,5126.14,66,38,3,85,1,23.29
39,36479.36,7,High School,4,Finance,5,5348.77,40,37,1,0,8,42.32
51,57586.03,36,Associate,1,HR,3,10234,60,50,0,51,18,31.61
64,48699.48,11,High School,5,Engineering,5,6329.5,43,41,2,89,18,34.35
25,68864.29,32,Bachelor,5,Marketing,4,5413.15,93,23,3,9,12,20.48
57,56090.84,12,High School,3,Marketing,5,3223.37,17,29,2,19,0,28.67
66,46476.14,15,Master,5,HR,2,5175.68,43,29,1,59,9,31.5
61,36597.27,38,Associate,2,Marketing,2,7503.21,104,34,4,47,14,62.75
36,61967.76,24,PhD,5,Sales,2,4587.79,16,24,0,0,6,61.99
59,21898.38,1,Master,3,Engineering,5,2428.35,25,36,0,75,0,21.34
58,59688.36,18,PhD,5,Sales,4,3285.24,91,37,3,40,17,35.77
54,33514.33,46,High School,4,Sales,4,2286.2,22,24,4,23,2,48.25
23,68784.25,7,Bachelor,1,Finance,3,3624.56,17,27,0,89,14,11.1
69,52419.49,42,Master,4,Engineering,1,2722.7,23,46,2,63,14,66.89
43,59661.86,41,Associate,2,HR,4,6099,39,44,4,61,15,37.74
51,51229.83,2,PhD,2,Marketing,2,6371.9,50,45,3,63,9,41.3
62,23714.34,40,Master,1,Finance,3,8019.2,116,42,2,1,0,56.89
23,37089.06,31,Bachelor,1,Sales,4,4898.89,61,42,0,19,16,47.25
54,60085.84,33,Associate,1,Marketing,4,4863.64,38,48,2,53,10,52.19
50,52499.84,30,Associate,1,Engineering,1,5690.94,66,52,4,18,1,58.53
39,67714.85,31,PhD,5,Sales,1,3874.93,60,37,2,24,5,48.81
38,56049.12,34,Master,4,Sales,1,2745.69,5,26,3,0,11,38.2
23,35499.47,7,Master,2,Engineering,4,3195.86,61,51,0,94,17,37.18
23,38059.04,25,Associate,5,HR,4,6216.42,114,26,2,57,2,45.24
65,51543.76,16,High School,1,Finance,2,6834.24,90,27,2,67,12,20.73
21,15289.34,22,Associate,3,Engineering,5,9779.99,32,40,1,2,12,13.81
47,75101.63,36,Bachelor,3,Marketing,1,2946.13,8,36,4,35,1,60.38
28,56626.2,27,Master,4,Marketing,2,2856.96,105,52,3,74,1,52.89
47,68405.52,17,PhD,2,Sales,2,1192.19,75,49,0,18,0,57.4
48,26290.94,4,Master,2,Operations,3,5310.26,79,21,2,72,12,24.52
41,68668.48,35,Associate,4,Finance,2,6080.38,80,55,1,41,15,70.34
26,83472.48,41,Bachelor,1,HR,1,3736.28,44,41,4,40,0,74.13
20,30186.82,22,High School,1,HR,5,1949.25,57,51,3,19,11,49.23
68,61571.03,47,Master,2,Operations,2,8999.66,43,44,1,72,17,68.12
48,50016.65,35,Associate,2,Marketing,4,5725.45,39,27,4,17,13,50.64
57,26833.49,44,Associate,2,HR,4,2549.55,102,52,0,56,8,62.19
54,57393.26,15,Associate,1,Marketing,2,4278.48,86,48,3,99,15,46.52
53,62504.05,40,Bachelor,3,Finance,1,9583.58,14,36,0,41,7,55.69
41,40983.1,44,Associate,4,Operations,5,6896.82,55,59,4,95,3,81.63
48,67488.75,21,Associate,4,Sales,5,4342.7,68,21,2,67,13,26.69
23,24998.55,13,Associate,5,Marketing,1,3087.6,83,58,2,93,13,35.58
19,27578.66,47,Master,5,Finance,4,7723.23,63,50,2,10,9,50.63
37,52048.96,11,Associate,3,Operations,4,2143.16,30,23,0,41,0,32.87
45,50380.78,49,Bachelor,2,Marketing,3,5998.78,117,45,0,82,13,59.16
28,39251.4,27,Master,3,Engineering,2,5964.42,119,28,0,17,18,21.23
21,62143.92,31,Associate,5,Marketing,2,7206.15,7,50,2,4,2,43.74
32,57963.41,44,High School,5,Finance,4,6124.39,81,29,4,82,5,43.25
23,62872.09,32,Bachelor,4,HR,2,6246.47,102,25,2,19,6,33.91
66,48152.95,30,High School,3,Marketing,1,5675.04,115,45,4,65,14,61.9
47,59038.7,18,Bachelor,1,Sales,5,5611.82,21,30,4,82,12,47.56
55,43315.25,16,High School,5,Finance,3,8745.81,69,34,4,57,9,30.8
68,80807.28,35,Associate,4,HR,1,5030.54,82,39,3,74,17,73.79
19,37811.81,9,High School,2,Finance,1,6736.8,5,33,0,12,4,8.93
32,81579.46,39,High School,3,Marketing,1,4198.03,92,40,4,63,11,38.69
28,50523.32,37,Bachelor,5,Engineering,2,2942.98,61,46,4,83,12,44.38
25,29367.34,10,Associate,1,Engineering,5,4042.22,15,49,4,41,16,39.54
43,70521.19,12,Bachelor,5,Sales,3,4509.57,71,26,0,1,18,13.31
68,51888.52,8,Associate,1,Operations,4,2901.29,81,56,3,49,3,69.36
62,62766.86,3,PhD,3,Operations,1,2020.42,59,34,0,8,14,16.83
61,68357.84,19,Master,1,Sales,1,7395.91,90,35,2,44,19,57.9
22,55069.33,11,Master,1,HR,1,3802.74,45,39,0,70,14,24.16
23,41116.39,8,Bachelor,4,Engineering,4,4436.76,115,57,0,3,7,35.75
43,64635.7,26,Associate,3,Marketing,2,3852.38,109,39,1,60,8,20.09
21,50011.33,45,High School,5,Finance,2,370.33,63,41,1,65,13,53.73
36,60287.87,23,Master,2,Finance,5,8277.41,34,25,3,86,8,31.56
37,17694.04,10,Bachelor,3,Engineering,2,3156.52,29,59,0,0,10,52.33
50,56704.73,18,Bachelor,3,Engineering,2,7024.14,75,39,1,68,6,26.59
37,40421.21,12,Bachelor,2,Finance,3,3015.22,68,24,0,31,10,41.7
66,74799.64,39,Associate,5,HR,3,5453.94,93,30,4,18,2,35.34
29,59346.31,26,Bachelor,4,Finance,2,6904.37,107,21,1,30,16,33.73
64,53597.87,11,PhD,5,Sales,3,2645.56,29,49,1,53,17,31.21
18,57294.65,10,High School,2,Marketing,5,4181.72,70,27,1,3,10,41.31
43,35023.39,3,Bachelor,5,Engineering,2,3759.15,38,59,0,6,13,48.81
31,74348.85,7,Associate,3,Operations,3,4099.43,59,27,4,31,12,40.35
55,79870.56,4,High School,4,Engineering,4,6547.03,62,36,0,96,13,31.16
54,55893.7,40,High School,1,HR,3,7775.27,90,58,1,5,9,56.58
28,73856.05,8,Master,5,Sales,3,4285.93,58,54,4,97,11,34.99
53,41462.78,38,Bachelor,1,Finance,4,5539.21,5,49,1,50,10,53.63
30,38043.3,13,Bachelor,4,Sales,5,2379.04,22,20,3,14,5,20.66
60,50613.87,12,Associate,1,Sales,4,9939.2,20,24,4,27,4,31.86
20,56524.12,35,PhD,5,HR,5,6001.17,60,35,3,79,16,50.75
50,44090.2,38,PhD,2,HR,4,6679.51,78,55,2,20,12,66.59
23,58066.52,43,Master,3,Operations,5,4037,35,34,1,85,16,31.28
67,54595.84,36,PhD,3,Finance,5,7140.66,52,36,2,96,1,60.73
27,35025.4,47,Associate,1,Operations,1,5277.87,81,32,0,98,9,30.82
22,57781.9,2,Master,3,Finance,1,6929.34,38,43,3,24,4,40.72
40,62952.92,15,Bachelor,3,Marketing,3,3155.1,38,23,2,39,3,20.06
27,52572.04,49,PhD,2,Sales,4,5361.79,110,32,2,25,12,54.24
61,67289.72,34,Associate,1,Finance,5,939.18,64,28,1,18,19,53.27
19,31738.94,39,Associate,2,HR,1,6247.96,80,45,4,19,7,40.75
30,57019.26,26,Bachelor,2,Marketing,3,6110.9,41,35,1,93,5,32.87
57,32445.79,48,Associate,4,Operations,3,1300.76,44,56,1,41,16,62.2
19,33288.78,5,Master,1,Marketing,3,2734.9,21,25,0,99,10,23.69
37,40536.04,48,Master,2,HR,1,3360.3,45,30,3,19,3,56.34
18,35869.1,25,High School,5,Finance,2,5987,60,21,0,40,13,49.52
54,41780.06,34,Bachelor,3,HR,3,-631.89,58,49,4,44,6,71.09
26,46787.75,47,Associate,1,Finance,2,8899.03,83,38,2,85,16,52.7
34,62557.32,4,PhD,4,HR,2,3511.11,17,42,3,36,14,32.95
26,45182.61,34,Master,2,HR,2,10975.45,50,31,0,26,18,32.62
28,26215.61,27,Bachelor,5,Engineering,3,5023.63,76,58,0,95,12,52.9
32,67101.02,42,Bachelor,3,Finance,5,287.67,21,25,4,45,2,55.25
41,37443.65,29,Master,3,Sales,2,1838.52,15,55,2,85,9,61.33
55,49119.19,5,High School,5,Engineering,1,5038.36,44,34,2,7,7,36.54
52,56698.05,18,Bachelor,1,Engineering,1,2265.76,50,55,3,11,17,41.12
47,52994.16,4,Associate,3,Engineering,2,2998.95,69,32,3,88,2,31.09
48,66412.69,1,PhD,3,Engineering,2,63.21,36,27,1,81,17,34.07
66,57185.05,20,PhD,3,Sales,2,4092.17,112,44,4,64,11,60.38
22,37080.36,6,Master,2,Engineering,1,7953.37,56,43,3,63,7,29.97
61,82678.43,20,Bachelor,2,Operations,4,3556.68,14,50,4,31,14,58.55
67,52915,20,PhD,3,Sales,5,6065.99,112,59,3,45,6,65.43
31,47789.9,46,Bachelor,4,Operations,4,2844.82,119,32,4,65,18,43.3
28,64458.88,27,Master,3,Sales,1,7025.62,63,48,1,35,2,36.34
26,53741.76,26,High School,1,Operations,1,3983.45,19,51,0,45,4,58.45
51,55988.42,32,PhD,4,Engineering,3,5504.62,7,56,0,21,8,62.15
29,87382.76,10,Associate,1,Marketing,4,3422.05,13,37,2,15,0,34.51
52,45873.18,18,Master,5,Sales,2,4310.37,12,45,1,27,18,38.59
52,45233.59,41,High School,5,Engineering,2,2337.6,78,37,0,47,8,31.47
18,51748.68,12,Associate,2,HR,1,8213.77,12,53,1,35,1,38
57,66072.74,10,Associate,2,HR,3,5098.56,20,50,3,79,17,47.56
39,27401.99,24,PhD,2,Finance,4,3408.53,15,34,2,98,16,45.07
46,20516.66,24,Bachelor,5,Sales,3,4459.67,27,56,1,96,2,49.51
25,41193.27,38,Master,1,Sales,5,5838.29,60,39,3,88,3,37.09
28,25491.16,46,Associate,4,Operations,3,6346.02,60,47,3,38,14,53.9
58,43627.53,25,PhD,2,HR,5,3830.56,26,23,2,75,0,52.59
54,57537.5,8,High School,5,Sales,4,6399.17,108,27,4,79,13,37.6
31,36638.77,14,Associate,2,Sales,2,4972.75,22,37,2,35,12,18.27
47,28597.6,43,High School,3,HR,5,3352.22,43,51,3,57,15,54.89
52,51040.06,31,Master,4,Engineering,2,4219.51,7,42,1,96,15,42.62
38,62938.15,24,PhD,1,Operations,3,3745.56,12,34,0,47,0,53.66
54,24575.4,16,High School,2,HR,3,8756.44,9,26,0,40,2,32.93
22,62303.49,20,Bachelor,3,Marketing,4,5234.93,95,50,3,50,4,52.48
36,62259.59,38,High School,3,HR,2,6484.49,9,51,1,35,4,53.13
31,64311.28,47,High School,4,Operations,4,7400.46,23,59,2,99,11,53.2
43,68277.2,15,PhD,5,HR,5,5181.39,85,33,0,48,14,25.5
21,83030.21,14,PhD,5,Operations,3,6886.51,65,38,3,57,6,26.47
42,44658.62,12,Associate,2,Engineering,3,5056.07,50,59,4,27,8,42.93
62,51643.57,34,High School,2,HR,3,4808.03,22,35,0,97,0,38.92
59,43753.42,8,High School,5,HR,3,4367.09,65,28,0,15,4,40.4
42,50029.65,19,PhD,1,Engineering,3,4088.77,64,20,3,92,17,22.32
35,72993.1,46,Bachelor,1,HR,5,6051.93,6,44,4,92,0,37.02
57,29824.78,5,PhD,3,Engineering,5,2872.62,54,27,3,87,14,18.3
25,37084.25,27,Bachelor,4,Marketing,4,2674.15,67,58,0,22,6,40.5
56,70657.71,41,PhD,1,Engineering,1,6776.31,75,51,3,80,16,63.88
57,65300.55,13,Master,2,Sales,3,7329.38,53,27,0,67,9,51.6
31,44553.03,32,High School,1,Sales,3,8378.66,118,32,1,86,6,36
49,62816.03,31,Bachelor,4,Operations,1,4186.14,84,22,3,85,15,43.43
68,55118.24,41,Master,2,Engineering,4,1547.58,75,21,2,37,5,49.39
55,72504.12,46,Bachelor,4,HR,5,1216.23,22,47,3,26,11,38.1
50,51117.64,37,Associate,5,Finance,3,7659.01,112,23,1,29,16,47.68
40,65384.48,2,Associate,4,Finance,4,6736.48,94,42,0,63,10,30.58
32,89630.18,7,High School,4,Marketing,1,5922.61,97,53,1,21,9,19.43
50,58971.49,48,Master,4,Marketing,5,6273.09,20,26,1,69,6,67.5
42,50739.92,11,Master,2,Finance,5,6368.72,50,49,3,90,16,44.5
34,60836.7,11,Associate,4,Finance,4,8791.85,107,28,2,21,11,11.24
50,44520.79,23,High School,4,Engineering,2,2817.85,98,38,2,76,4,47.84
64,85819.52,31,Associate,3,Finance,2,3247.35,29,28,3,62,0,76.96
19,52701.07,44,Master,2,Sales,2,5974.94,12,42,2,23,11,45.37
31,45906,45,Bachelor,4,Marketing,1,6539.72,68,30,2,49,0,51.81
57,37464.66,8,Master,1,Operations,2,2584.21,18,32,2,96,12,28.82
57,66458.3,32,High School,4,Marketing,4,6656.98,26,48,4,29,11,48.71
68,63007.81,48,Master,1,Sales,5,4112.98,82,50,1,85,14,80.64
56,42539.68,21,PhD,5,Marketing,4,6037.4,95,27,0,6,7,45.96
68,58646.77,31,Master,5,Finance,4,2414.86,39,38,4,57,11,63.2
23,27371.66,1,PhD,2,Marketing,3,1138.19,108,24,0,72,10,15.55
23,52774.56,13,Associate,2,Sales,1,6147.68,55,46,3,31,4,36.92
20,56791.35,11,PhD,5,Marketing,5,9001.69,80,58,4,34,2,35.43
24,75609.95,29,Master,2,Operations,3,5082.74,47,33,1,80,10,41.84
68,38437.72,4,Master,1,Operations,1,8650.85,89,41,0,21,17,38.27
25,30824.71,36,Master,1,Operations,5,2245.16,79,41,4,25,9,60.28
59,36568.58,15,High School,3,Operations,3,3232.82,7,24,3,95,19,33.14
69,29951.47,3,Associate,2,Finance,2,5983.81,77,35,0,92,0,41.06
32,70049.86,29,PhD,2,Operations,4,6075.4,111,58,1,36,17,30.19
64,73229.59,21,Bachelor,3,Operations,2,3988.91,59,45,1,35,15,60.51
46,54803.25,2,PhD,4,Engineering,5,6173.63,23,35,0,45,0,18.36
50,68319.42,6,Master,1,Operations,3,3925.08,46,31,1,9,6,24.54
69,52009.38,31,Bachelor,4,Finance,3,5235.37,65,35,0,86,14,38.92
47,48573.33,24,Bachelor,3,Operations,3,5697.71,27,59,3,4,4,36.35
56,45004.44,40,PhD,2,Marketing,4,8703.32,84,31,0,74,14,59.82
44,45344.14,17,PhD,4,Operations,3,3242.83,8,51,0,60,12,35.5
53,26782.98,5,PhD,2,HR,1,6195.14,100,24,0,11,5,14.31
46,53963.82,2,PhD,3,Marketing,1,6695.47,69,55,0,19,12,22.7
55,49394.99,12,Associate,5,Operations,1,9576.64,8,47,4,9,19,53.58
50,61180.41,5,High School,2,Operations,2,8039.1,63,23,1,25,0,23.57
54,51402.85,42,High School,4,Marketing,5,6367.65,94,58,1,11,3,60.8
44,47559.44,41,PhD,4,Sales,2,1114.09,95,58,2,88,9,67.42
50,36932.1,20,High School,3,HR,2,5964.27,108,48,4,7,13,50.81
21,51082.3,8,PhD,4,Sales,4,7223.29,84,38,1,19,3,28.73
39,61073.56,1,PhD,1,Operations,2,2822.95,34,44,4,73,18,43.21
19,32849.92,6,PhD,2,Sales,4,3269.17,106,54,0,88,5,18.33
27,51312.11,11,Associate,1,Finance,1,8636.01,37,43,0,46,8,28.12
22,53495.64,3,Master,3,Engineering,1,7499.15,84,38,1,93,11,33.37
27,39229.03,31,High School,1,Marketing,2,1953.01,37,42,3,75,13,59.15
50,41182.16,28,High School,1,HR,2,5053.04,24,50,1,7,17,68.85
55,53459.16,47,Associate,2,Marketing,1,4978.5,99,38,3,86,2,43.84
30,32998.68,43,Associate,2,Sales,3,8173.2,52,51,0,80,2,52.24
48,55248.86,5,PhD,5,Engineering,1,8329.64,31,32,2,3,3,36.12
64,36569.68,26,PhD,1,Sales,3,5605.37,36,37,0,64,18,46.06
53,65942.81,16,Master,2,Marketing,1,2992.17,90,26,4,36,0,42.05
62,85067.42,31,High School,1,Finance,5,4149.61,104,43,0,51,14,74.2
41,37088.65,28,Associate,1,Marketing,4,1379.65,31,36,0,7,14,32.1
69,58013.12,7,Master,3,Sales,4,1884.22,29,34,4,32,13,26.25
32,39098.87,38,High School,3,HR,5,10398.16,70,28,0,34,6,46.87
46,65614.31,9,Master,1,HR,3,4388.57,114,53,1,24,3,35.45
25,31021.12,39,Master,3,HR,2,4407,106,54,0,62,10,56.36
22,57208.8,35,PhD,2,HR,2,4728.36,91,27,4,92,1,37.74
46,36905.17,43,Master,1,HR,4,5225.43,16,30,0,39,1,46.04
64,46895.23,27,PhD,3,Operations,2,5838.25,105,43,4,61,6,44.09
21,34534.62,12,High School,2,Engineering,3,3131.02,50,49,3,27,19,33.36
29,62335.26,25,High School,1,Engineering,2,8033.52,105,40,4,52,14,33.59
62,37445.29,43,PhD,1,Finance,1,3687.4,118,54,2,98,4,73.56
19,58279.46,29,Bachelor,3,HR,5,1581.89,52,31,1,50,16,34.55
44,44838.53,31,Master,2,Sales,4,2245.81,89,28,0,66,4,27.95
48,48282.91,34,High School,1,Sales,2,4975.07,116,31,1,65,0,58.1
68,52216.34,33,Master,1,Marketing,3,6846.88,110,47,0,79,15,54.92
68,38572.63,27,Bachelor,5,HR,2,6601.05,79,48,3,96,14,75.25
53,53155.51,2,Master,1,Sales,5,7560.51,89,59,1,56,15,38.4
53,72955.02,14,Bachelor,5,Operations,1,2482.43,41,54,0,6,13,37.81
43,38328.58,13,Associate,5,Finance,4,7631.46,8,48,3,22,6,36.81
60,67577.15,24,Bachelor,2,Sales,4,5995.9,94,25,2,94,2,39.69
44,72471.46,5,High School,4,Operations,3,4360.36,88,35,0,43,1,28.03
22,37757.68,34,PhD,5,Operations,1,3506.59,65,47,3,61,3,37.57
37,28174.18,23,PhD,2,Finance,2,3152.63,75,20,2,81,9,26.94
28,54529.41,19,Master,3,HR,2,6067.13,106,48,2,83,12,54.6
27,41788.89,30,Associate,5,Marketing,3,5138.41,51,59,2,7,6,45.38
57,78029.05,49,Master,4,Marketing,1,1365.54,95,25,0,93,19,74.26
55,50522.11,43,Bachelor,3,Engineering,3,4398.49,51,46,3,12,5,67.75
23,37967.01,16,PhD,5,HR,5,4148.18,21,56,0,29,18,38.17
25,32792.61,40,Bachelor,5,Sales,5,7364.15,36,41,4,19,11,51.78
40,66348.57,34,PhD,4,Marketing,2,5696.33,14,26,1,73,17,35.4
64,41432.24,49,PhD,1,Operations,5,4153.15,54,20,3,27,3,63.06
43,50657.43,11,PhD,4,Finance,3,3417.32,79,32,3,18,14,45.8
63,64337.04,14,High School,2,Operations,4,5537.99,63,33,0,1,8,45.57
60,42736.12,48,Bachelor,2,Finance,5,3729.46,22,34,4,44,17,51.24
29,49311.07,47,Master,4,Sales,3,2092.25,70,31,3,90,2,51.75
43,49751.47,15,Associate,4,Sales,4,5704.29,39,23,4,44,18,23.64
30,60249.87,35,Master,4,HR,4,4845.7,10,40,1,61,4,29.85
57,58861.17,7,Bachelor,4,Sales,5,4630.43,7,21,3,51,9,32.71
35,46698.29,29,Associate,4,Sales,1,5140.13,75,40,4,51,10,25.7
42,50954.74,44,Master,5,Sales,5,6095.03,39,33,4,44,6,45.05
50,44423.31,22,Associate,3,Marketing,5,2379.31,115,21,4,76,0,38.88
64,27835.81,23,Bachelor,2,HR,1,3348.38,81,30,4,11,1,59.04
57,53864.01,24,PhD,2,Sales,5,7952.11,106,56,0,31,4,46.01
60,78382.88,35,Bachelor,3,Sales,3,7227.81,70,33,3,16,4,39.48
29,36744.21,10,High School,4,Operations,1,9072.93,70,39,0,55,12,38.09
61,38404.55,8,Associate,3,Operations,3,6585.15,55,54,4,20,6,46.87
53,36939.08,48,Bachelor,4,Finance,4,6409.59,76,46,2,32,6,60.15
65,60868.88,48,PhD,2,Marketing,1,4827.15,77,25,3,87,18,39.52
21,56727.28,12,PhD,1,Sales,4,2006.37,38,26,0,54,19,34.26
22,47621.93,29,Bachelor,2,Marketing,2,6361.31,43,20,4,79,1,8.7
54,36229.71,29,Master,2,HR,2,4837.9,99,32,4,2,11,46.25
25,51385.65,23,Bachelor,1,HR,3,1609.39,97,57,3,86,10,54.56
59,26530.67,26,PhD,3,Operations,4,6161.33,53,36,1,54,15,47.34
66,52151.4,37,Bachelor,5,Engineering,4,7242.03,51,57,3,17,17,59.93
45,63072.87,32,High School,4,Finance,1,3392.55,40,55,0,9,18,42.03
48,31232.01,38,Master,4,Engineering,2,4253.69,26,57,1,31,15,51.68
26,27012.23,6,Bachelor,2,Marketing,3,5735.51,91,20,3,76,5,41.43
68,73691.57,8,PhD,1,Finance,3,3220.34,81,20,3,82,16,27.62
46,40823.61,17,Bachelor,2,Operations,1,4706.25,103,38,3,31,8,42.76
31,67039.22,12,Bachelor,2,Sales,1,5457.99,48,49,2,38,0,27.26
57,47690.04,22,Associate,3,Operations,3,6605.19,71,32,3,76,7,38.67
58,47570.68,14,Bachelor,4,Operations,1,4979.75,65,26,0,8,5,19.61
39,56576.19,34,High School,5,Finance,4,6055.22,119,39,4,11,16,44.9
28,36740.02,19,PhD,1,Finance,3,4587.9,13,28,0,5,1,26.18
40,51987.46,6,Associate,5,HR,5,5289.44,52,32,3,57,6,42.5
18,44277.66,18,Bachelor,1,Engineering,2,5714.03,22,58,1,83,13,29.65
63,30192.6,36,Master,4,HR,2,61.44,94,39,2,83,15,49.41
54,55062.23,37,High School,3,HR,5,3651.08,33,44,2,43,4,62.05
38,46050.38,38,High School,5,Engineering,5,7266.82,52,24,2,55,8,40.77
43,47644.63,15,High School,1,HR,4,948.79,16,44,1,7,3,36.66
63,31847.59,38,Associate,2,Finance,3,5789.2,43,31,1,57,13,49.17
53,73871.01,40,Bachelor,4,Marketing,1,7771.38,27,45,1,72,18,45.1
40,63150.71,9,High School,3,Sales,2,7274.73,23,41,1,59,17,29.27
18,64462.34,6,Bachelor,2,Sales,5,6665.17,28,20,0,3,11,17.9
68,45418.33,2,Master,3,HR,3,8461.37,112,27,4,20,3,21.58
57,24062.26,16,Bachelor,1,Engineering,1,7442.53,111,55,1,7,12,36.97
32,79293.76,1,Bachelor,2,Finance,2,4232.38,48,22,4,55,16,31.76
38,49083.54,30,Bachelor,3,HR,3,6435.75,98,41,3,34,8,48.71
64,38768,48,PhD,4,Finance,2,2232.11,99,59,4,20,5,71.12
26,56252.02,33,Associate,5,Finance,4,6948.88,87,40,3,25,8,36.06
26,67506.81,1,Bachelor,5,Operations,2,4859.46,89,40,2,49,1,27.81
27,49654.24,39,High School,2,Sales,4,7155.46,53,50,3,5,7,24.07
69,69178.63,16,PhD,4,Marketing,4,5548.79,115,20,0,4,15,25.93
43,66245,17,Bachelor,4,Marketing,4,6994.66,78,46,3,25,9,47.15
58,33854.28,48,PhD,3,Engineering,1,5286.71,8,21,2,26,8,44.15
52,39893.15,48,Associate,2,Marketing,1,4495.54,66,48,2,55,2,57.3
69,64363.06,38,PhD,4,HR,4,5617.24,22,20,4,62,5,52.59
42,9310.81,18,High School,3,Sales,3,1937.9,64,27,4,81,5,25.58
43,47758.16,22,Bachelor,4,Sales,4,4793.95,113,54,2,59,11,40.4
28,28537.53,22,High School,2,Finance,3,4109.52,68,54,3,36,10,37.91
55,42851.69,35,Master,4,HR,2,2243.39,105,26,3,20,13,47.11
19,45517.7,31,PhD,4,HR,1,3604.4,24,42,1,52,8,23
24,44626.33,40,PhD,4,Finance,3,2405.41,56,42,0,52,13,48.32
35,41716.08,27,PhD,5,Operations,3,1916.53,40,58,3,79,2,48.46
44,33542.85,36,Associate,1,Operations,3,3851.25,66,38,2,32,15,47.89
51,84378.67,4,High School,2,Finance,5,6009.6,52,34,0,1,9,23.99
44,78011.93,49,Master,5,Sales,1,2006.19,100,27,4,91,10,49.39
34,32569.01,5,Associate,1,HR,5,4906.67,61,52,2,45,8,43.46
60,73731.75,25,Associate,4,Marketing,2,5396.59,61,54,2,54,3,59.91
61,44008.02,31,Bachelor,4,Marketing,3,4775.05,95,59,4,52,2,70.77
68,51937.81,14,Master,5,Sales,1,6676.4,45,32,3,67,10,32.6
41,49050.89,30,PhD,3,Marketing,1,11219.86,92,50,4,49,8,55.23
42,40103.77,47,PhD,2,Marketing,1,8302.78,97,26,2,42,18,41.16
24,64757.79,12,Bachelor,1,HR,3,3720.4,57,39,3,19,14,6.61
69,51888.3,27,PhD,4,HR,4,3067.88,92,57,4,21,2,67.62
23,42851.73,45,High School,2,Engineering,4,4071.19,66,27,3,52,0,48.42
41,30431.16,24,PhD,4,HR,4,6035.49,33,55,0,82,14,62.45
50,36596.07,30,High School,4,Engineering,5,5083.52,43,33,3,93,10,29.47
66,25379.3,18,Bachelor,4,Operations,3,5098.42,86,49,2,34,19,51.14
46,50183.35,14,Bachelor,2,HR,2,5196.77,14,28,4,44,6,30.47
60,32050.02,19,High School,5,Finance,5,5154.48,115,32,3,4,1,52.84
39,46016.59,22,PhD,2,HR,1,5528.54,65,31,1,3,6,22.11
43,70551.53,26,Bachelor,2,Engineering,4,6876.15,60,21,4,14,3,32.47
45,67989.49,7,Bachelor,3,Marketing,1,5698.68,13,57,4,87,8,41.64
67,49515.85,28,High School,3,HR,5,2808.86,54,40,1,96,19,58.22
38,48693.73,38,Bachelor,5,Marketing,4,6851.9,79,48,3,73,9,55.05
66,78198.12,5,PhD,3,Marketing,3,7182.74,16,39,0,98,9,38.68
24,57811.34,36,Bachelor,5,HR,4,4705.9,6,28,2,95,14,34.59
34,45082.9,18,High School,4,HR,4,5617.77,94,34,0,79,16,32.81
